,Review,Label
47,언제나 맛있어요 만족,True
48,맛있게 잘먹었습니댜.,True
49,맛있어요 🍗🍗🍗🍗🍗🍗🍗,True
50,양념이 다른 페리카나랑 달리 조금 매콤해서 놀랬어요ㅜㅜ,False
51,"여행와서 먹을게 뭐 없나 찾아보다가 평소에 페리카나 좋아해서 주문했어요…

근데 이제 어떻게하죠…?

다른지점 페리카나는 못먹을것같아여.. 여기 너무 맛있어요..

치킨에서 고기육즙이 뚝뚝떨어질정도로 부드럽고…
겉은 바삭하고… 양도 가격도 정말 안믿길정도였어요…

다른지점시켜도 여기가 계속 생각날것같아요…

리뷰생각지도못해서 사진은 못찍었는데 진짜 대전으로 이사올까 고민할정도로 맛있었어요… 번창하세요 사장님..",True
52,바삭하고 매콤하고 두가지 다 맛있어요.제일인듯,True
53,항상 친절하고 맛있어요,True
54,맛있게 먹었습니다!,True
55,"이번에는 바로 먹기 직전! 
아이들은 이미 후라이드 몇개 집어갔지만요. ㅋㅋ 
소스도 많이 주셔서 맛나게 후하 하면서 먹었어요.
아이들도 야무지게 후라이드 먹었구요.",True
56,"치맥은 역시
뿌링클을 못따라오지!",True
57,정말 좋았습니다. 맛도 양도 대만족!,True
58,맛있네요. 맛있어요,True
59,시켜본 BHC 매장 중 가장 맛있었습니다!,True
60,양도 많고 맛있어요,True
61,맛있게 잘 먹었습니다.,True
62,덕분에 맛있게 잘 먹었습니다!😊👍,True
63,새로 나와서 시켜봤는더 식어도 맛있어요,True
64,맛있게 잘 먹었습니다,True
65,"맛있어요..새우도 싱싱하고 통통하고 간도 잘맞구요 ㅎㅎ....ㅠ  근데 옛날보단 확실히 피자크기가 많이 작아지긴 했군요... 그래도 피자의 선택지가 없으니 어짜피 우승은 도미노

(L사이즈 저혼자 다 먹었는데... 이거 많이 먹은겁니까?...ㅠ)",False
66,맛있게 잘먹었습니다,True
67,맛있게 잘 먹었습니다~~,True
68,라이스볼 말해뭐해 굿,True
69,맛있어요 씬이라 좋았는데 확실히 배는 덜차는듯! 간식으로 시킨거라 전 잘먹었어요~,True
70,항상 같은 맛. 맛있게 잘 먹고 있습니다,True
71,"라이스볼은
너무맛잇고 또 먹고싶고",True
72,맛있음 근데 너무 바빠서 그런지 피자를 막 자른듯 네가지맛 구분 없이 막 잘려있었음,True
73,바삭하고 양념 맛있어요,True
74,양념치킨은 처갓집이 제일 맛있는 것 같아요 ㅠㅠ 맛있게 잘 먹었습니다!,True
75,매번맛있게 먹고있습니다,True
76,"와락 간장치킨 맛에 반해 꾸준히 주문해 먹지만, 손질 안 된 기름부분 때문에 거의 절반은 버린다는..ㅜㅜ",True
77,맛있게 잘먹었습니다 :),True
78,맛잇게먹었어요. .....,True
79,좋아요 정말 배송 빠르고 좋아요,True
80,"역시 처갓집 양념이네요
정말 맜있었습니다",True
81,맛있게 잘먹었습니다 :),True
82,행사해서 가격도 싸고 맛있습니다 짱짱,True
83,할인해서 싸게 잘먹었습니다,True
84,피자가 매우 맛있었어요,True
85,ㅋㅋㅋㅋㅋㅋ아 피자맞나요?ㅎ,False
86,"빵 발효가..발효 냄새가 너무 많이나네요..
제가 먹어 본 피자헛 피자맛이...아닌것같아요..",False
87,디트로이트 피자 새로 나와 시도해봤는데 맛있었어요. 또 시켜먹을 것 같아요.,False
88,간이 약간 싱겁네요,False
89,"피자 맛있게 먹었습니다
주문이 많으셨는지 요번엔 배달이 예상시간보다 조금 오래  걸렸어요 
다음엔 더 잘 부탁드릴께요~~",True
90,맛과양 맛있습니다 배달 감사합니다,True
91,맛있어요 맛있어요 맛있어서 사진이 없어요,True
92,맛과양 맛있습니다 배달 감사합니다,True
93,포장이 넓적 상자에서 일반 상자로 바뀌었지만 맛은 그대로!,True
94,맛잇게 잘 먹엇습니다,True
95,.맛있게 잘 먹었습니다!,True
96,잘먹었습니다 ㅎㅎ첨 먹어본 메뉴인데 역시 굽네은 굽네네요 맛있어요!!,True
97,너무 맛있게 잘 먹었습니다,True
98,맛잇게 잘 먹엇습니다. 사진은 깜빡해서 저번에 먹엇던걸로,True
99,"가장 맛있는 치킨~!!
정신없이 먹다보니 순삭~
다 먹은 사진이라 죄송해요 ㅜㅜ
고추바사삭은 사랑입니다~♡",True
100,"맛나게 잘먹었어요^^
축구 보면서 맛있게 행복했어요 ^^",True
101,항상 너무 맛잇네요,True
102,"기분좋게 저녁7시경 미리 주문하고 
9시 배달부탁드렸는데 
치킨은 7시에 튀겼는지 눅눅해졌고 겉박스
포장봉투까지 물로 적신걸보니

그나마 월드컵이라 
미리주문하고 시작시간보다 한시간빨리받은
제생각이 중요한게아니였네요 

이딴식으로 장사하지맙시다
전화는 통화중 가게는 닫혀있고 
일단 어떻게든 팔아만보자라는 생각이신가
매우 실망했습니다",False
103,주먹밥 잘 먹었어요~ 고기 여전히 맛있습니다.,True
104,리뷰이벤트로주신 김치찌개까지 양도 넉넉하고 진짜 맛있었어요 잘먹었습니다,True
105,푸짐하고 맛있어요 추천합니다,True
106,진짜 정말 맛있게 잘먹었습니다. 부모님께서 맛있다고 좋아해서 기분좋았습니다!,True
107,늘 배달도 빠르고 맛도 좋습니다~!,True
108,깜빡하고 리뷰이벤트 참여를 못했는데 서비스로 김치찌개가 왔습니다. 예상치 못하게 정말 맛있었어요!! 배송이 너무너무 빨라요.....ㅎ,True
109,배달 엄청 일찍왔어요 맛있게 먹었어요,True
110,"늘 맛있어요
깔끔한포장 친절하고 빠른 배달도 한결같아요",True
111,몇번 째 시켜먹는데 고기가 더 부드러워진 것 같아요. 진짜 맛있게 먹었어요. 감사합니다!,True
112,고기가 좀 퍽퍽한 느낌이 있었지만 그래도 맛있고 좋아요.,False
113,저렇게 2개 오는데 양도 많고 맛나요!,True
114,"후기가 좋아서 주문했는데 탕수육 짜장면 맛있어요
짜장면은 촉촉한걸 좋아하는데 소스가 조금 부족했던거 같아요. 다음 주문시에 소스 더 달라고 요청할게요
포장도 깔끔하고ㅎㅎ 맛있게 잘먹었어요",True
115,탕짬면 곱빼기 딱좋아요.. 매주먹어요,True
116,"양도 많고 너무 맛있게 잘먹었어요 ~
깔끔해서 더 좋내요",True
117,배달겁나빨라요 이제 여기만 시켜먹어요,True
118,처음 배달해본 가게인데 배달도 빠르고 맛있게 잘먹었습니다 많이 파시고 좋은하루되세요😊,True
119,잘 먹었습니다 :) 살짝 간간해요,True
120,믿고먹는 대명각입니다,True
121,한끼 잘 먹었어요,True
122,이 주변 중국집중에 짜장 짬뽕 둘 다 맛있는 곳은 여기밖에 없는 거 같아요 탕슉도 존맛탱,True
123,잘 먹었습니다.,True
124,맛있게 잘먹었습니당,True
125,맛있게먹었습니다 ㅎㅎ,True
126,"배달도 빨리오고 맛도 적당히 매워 맛있었어요
양 많아서 세명에서 잘 먹었네요 밥 볶아 먹으니 꿀맛이였습니다",True
127,해물찜 먹고 싶을때 종종 시켜 먹어요 오만둥이를 좋아하는데 이번엔 찾아보기가 힘들어서 좀 아쉬웠어요,True
128,순살 아구찜 너무 맛있어요. 배달도 무지 빨랐고요!,True
129,아주아주 맛있게 먹었어요,True
130,까먹고 리뷰 안쓸뻔 했는데 개맛있어요,True
131,"감사합니다
양도 많고 맛도 너무 좋습니다!!
다음에 재주문 하겠습니다~",True
132,"가격에 비해 양이 엄청많네요.. 25000원이라 해서
콩나물만 많고 아구는 적을줄 알았는데 진짜 다 많아요
아구 곤이 콩나물 적당한 비율이네요 혼자 먹기에는
생각보다 양이 많습니다 배달도 빠르구요 맛있어요
한가지 아쉬운건 좀 싱겁네요 특히 콩나물과 같이 먹으면 더 싱거운듯ㅠ 그래도 첫배달치곤 진짜 만족
합니다 계란찜 미역국 샐러드 백김치도 좋아요^^
완전 강력추천!!!",True
133,먹어본 커리퀸 중 최악입니다 튀김옷이 뚝뚝 떨어지고 튀김 가루만 튀겨진 조각들도 있고 포장 방문했는데 직원들 마스크도 안쓰고 조리하면서 수다떨고 있고,False
134,너무 맛있게 잘먹었습니다.,True
135,맛있게잘먹었습니다~~~~~~,True
136,잘먹었습니다! 나중에 또 시킬게요,True
137,뿌링클 가루도 많고 맛있었어요,True
138,맛있게 잘 먹었습니다,True
139,배달도 빠르고 오늘도 맛있었어요~,True
140,늦은거 미안하다고 서비스도 주시고 따뜻할때 포장해와서 넘 맛있게 먹었습니다~~,True
141,"축구보면서 먹을려고 일부러좀 일찍 시켰어요
아주 좋은 날이었습니다~",True
142,맛초킹 소스 많이 넣어주셨어요 감사해요 !,True
143,"음식 잘 배달왔고, 맛있게 잘 먹었어요!",True
144,치킨 잘먹을게요.😃,True
145,맛있다!!!!!!!,True
146,잘먹었습니다. 추천합니다 ^^,True
147,"치킨 두 조각 덜 보내고, 그래서 다시 보내라니 30분 지난 지금 아직도 안오고있다. 아무리 프렌차이즈라지만, 진짜 대충 장사하는 듯",False
148,망ㅅ있어요,True
149,"요청사항 잘 들어주시고
항상 따뜻하고 맛있게 먹습니다",True
150,"맛있게 잘 먹었습니다.
너겟이 좀 맵네요.",True
151,맛있게 잘 먹었습니다.,True
152,잘 먹었습니다! 또 주문 하겠습니다!,True
153,처음 시켜봤는데 엄청 맛있네요 감사합니다,True
154,"빨리 도착하고 친절하시네요
너므너므 맛있어요
번창하세요",True
155,바삭하고 너무 맛있어요,True
156,그럭저럭 괜찮습니다,False
157,"배송에 문제가 있었지만
진짜 맛있어요",True
158,피자헛은 사랑입니다,True
159,배달도 빠르고 맛있게먹었습니다,True
160,가성비갑 메뉴 최고입니다,True
161,처음 시켜 먹었는데 너무 맛있어뇨~,True
162,배달이 빠르고 아주 친절하고 맛있어요,True
163,배달도 빠르고 맛있어요 좋아요 ㅎㅎ,True
164,"축구할때 먹으려고 주문했어요~~ 파절이 만들어서 같이먹으니까 세상JMT, 신랑이 바삭바삭한 치킨옷 입은 치킨시킨줄알고있다가~ 실망했는데~~~어쩌라고~~ 저는 잘먹고있어요~~!!
맛있어요~~",True
165,ㅁㅊ...너무 배고팟는데 입에 넣자마자 극락왕생,True
166,월드컵이라 늦을까봐 걱정했는데 엄청 빨리 왔네요 ㅎㅎ,True
167,맛있어서 연속이틀 시켰어요~!!ㅎㅎ,True
168,겉바속촉 굽네 장인이시네요~맛있게 잘 먹었어요!!소스 요청 들어주셔서 감사~!!,True
169,고추바사삭 항상 맛있고 오늘따라 굽기가 예술이네요! 맛있게 잘 먹었습니다~,True
170,맛있게 먹었습니다!!,True
171,맛있어요!！o3o,True
172,좋아요 잘받았습니다ㅎㅎ,True
173,배달도 빠르고 맛있어요,True
174,잘 먹었습니다! 최고!,True
175,도착도 빠르고 맛있네요.,True
176,"정말 맛있어요 토핑도 풍부하고 도우도 좋아요.
잠깐 다른 피자 시켰다가 바로 후회하고 7번가 피자로 다시 넘어왔습니다. 제 입맛에 딱이에요! 저는 피클이랑 기본 소스류 잘 안먹는데 그건 안주셔도 괜찮을 것 같아요.",True
177,항상 너무 맛있어요!,True
178,맛있게 잘 먹었습니다,True
179,쫀득쫀득 맛있네요 도우가,True
180,항상 맛있게 잘 먹고 있습니다,True
181,맛있는 치즈 크러스트 슈퍼 슈프림 피자!,True
182,리치 치즈 고구마 맛있어요,True
183,진짜 주에 한번은 먹어야됩니다.. 중독이에요,True
184,당면때매 국물이 많이 뿔었어요ㅠㅠ 하지만 너무 맛있어서 다음에 또 시켜먹을겁니다!,False
185,"고기의 부드러움은 보통이고
매운정도는 딱 괜찮았어요 ㅎㅎ",False
186,진짜 너무 맛있어요 미칩니다,True
187,포장은깔끔. 리뷰보고시켰는데 저희하고는 안맞나봐요. 그래도 보통으로 잘먹었습니다,False
188,전체적으로 살짝 달긴 한데 맛있었어요 저녁에 먹어서 속도 안쓰리고 편안하고 오히려 좋았어요. 굶은 사람 처럼 먹었습니다..! 이제까지 먹은 주먹밥 중에 젤 맛있었어요 또 생각나요 쓰다 보니까,True
189,맛있게 잘먹었어요🥰🥰,True
190,포장을 아주 깔끔하게 해주셨고 라면사리도 불지 않게끔 따로 포장해주셨어요 게다가 먹기 편하라고 비닐장갑까지 추가로 주셨네요 무엇보다 맛이 최고입니다👍🏻👍🏻,True
191,진짜 미친맛이에요 너무맛있습니다,True
192,처음시켜봤는데 맛있게 잘먹었습니다!,True
193,맛있어요! 양도 많아요,True
194,맛있게 먹었습니다,True
195,맛있게 먹었습니다,True
196,맛있게 먹었습니다,True
197,"늘~ 잘먹고있어요
깍두기가 작아진것이 아쉽네요 ㅜㅜ",True
198,"다른 지점과는 맛 차이가 있어요. 음식도 다른 형식으로 나오네요.
여기 밥 많이 줘서 좋아요.
(하지만 고기 양이 많지 않아서 좀 아쉽네요 ☹️)
먹을 만 해요.",True
199,맛나게.잘먹었습니다.,True
200,급하게 먹느라 사진을 못찍었네요ㅜㅜ 너무 맛있게 잘 먹었습니다!!,True
201,"빠르게 배달해주셨어요 

덕분에 맛있게 잘 먹었습니다",True
202,와우 수육 국밥도 진짜 맛있네요~,True
203,집에서 고기는 삶아 먹어도 원할머니 보쌈 김치맛은 따라갈 수가 없네요.,True
204,"보쌈은 역시 원할머니보쌈!
잘 먹었습니다-",True
205,푸짐하고 맛있어요!,True
206,보족2인세트 맛있게 잘먹었어요^^,True
207,"배달이 빨라서 고기가 따뜻했고 더 맛있었어요
보쌈김치와 무김치는 매콤달콤 시원한 감칠맛이 최고였어요 강력추천합니다",True
208,배달도 빠르고 음식도 정갈하게 맛있게 잘 먹었습니다,True
209,맛있어요  ㅎㅎ 너무,True
210,양은 원할머니 정량이고 배달도 예상보다 빨랐어요 도착 후 문자 주셔서 조용히 픽업도 했구요 근데 족발보쌈이 너무 두껍게 썰어져있고 보쌈에 돼지 냄새가 너무 나서 남겼습니다 ㅠ 족발은 어떻게든 먹겠다고 냉장고에 넣었지만 막국수나 부추는 짜고 달고 ㅠ 맛이 너무 아쉬웠어요,False
211,맛있게 먹었어요,True
212,"맵찔인데 매운 보쌈 시켰어요 ㅋㅋㅋㅋ
세상에 살면서 매운 보쌈이 있을 거라고는 생각도 못했어요 ㅠㅠ 2천원이나 더주고 청양고추룰 시키다니ㅠㅠ 
맵찔이라서 우울하지만 그래도 어찌저찌 먹었어요 ㅋㅋㅋ",True
213,단무지가 바뀌었네요 바뀌기 전이 더 나았던 것 같아요,True
214,진짜 맛있게 먹었어용😃👍,True
215,잘먹었습니다 감사합니다,True
216,진매알밥 진짜 맵네요~ 맛있게 먹었어요,True
217,맛있게 잘먹었어요!,True
218,맛있게 잘 먹었습니다~~~~,True
219,역시 빠르고 맛있습니다!!,True
220,늘 맛있게 먹고 있어요,True
221,맛간장 맛있어요! 조리법도 알려주셔서 감사합니다^^,True
222,어묵도 주시고 좋아요 자주 시켜먹을듯 합니다,True
223,고기가 닭살이 아니였네용 맛은 있었습니다!,False
224,자주시켜먹는데 양도많고맛있어요 ㅎㅎ,True
225,카레소스랑 고기랑 조화로워요 맛있게 잘먹었어요,True
226,항상 변함없이 맛있어요!!,True
227,늘 그렇듯 맛있어요ㅎㅎㅎ,True
228,"배달도 빠르고 양도 괜찮아요.
용기를 전자레인지에 넣을 수 있어요.",True
229,오늘도 맛난 카레 잘 먹겟습니다,True
230,잘 받았어요 ㅎㅎㅎ,True
231,ㅠㅠ 여기근처로 이사가고싶어요ㅠㅠ 넘 맛있음!!!,True
232,맛있게 잘 먹었습니다!!,True
233,푸짐하게 잘 먹었습니다. 매콤 규동이 데리야끼 대패 삼겹살보다 덜 매운 것 같아 아쉬워요.,False
234,"밖에서 친구들 만나고 할때마다 자주 이용하는 가게이기에 믿고 배달 시켰는데 아무리 봐도 이건 아닌거 같네요.
육회비빔밥이야 한쪽으로 쏠려도 그냥 비비면 된다 치지만,
초밥은 다 뒤집어져서는 참으로 먹음직하게 뭉쳐져있고, 배달 늦은건 이해를 해주려해도 라이더 위치 다 뜨는데도 불구하고 여기저기 엄청 들렸다 오시더군요. 다신 이용안합니다. 장사 번창하시길",False
235,"감자전은 더 바삭했었으면 하는
아쉬움이 있었어요...",False
236,맞있게 잘먹었습니다,True
237,"너무 맛있게 잘먹었습니다~
양도 맛도 최고네요",True
238,단골집인데 오늘은 늦어서 못 가고 이렇게 배달 주문 했는데 역시나 맛있어요 ㅎㅎ 짱입니다!!,True
239,가격에 비해 고기 질이 너무 별로였어요 양이 많아서 그런가..?ㅠㅠ아쉬워요 배달은 진짜 빨랐어요,False
240,"김치수제비 깔끔하고 시원한 맛에 맛있게 먹었습니다. 
돈까스도 맛있게 잘먹었습니다.",True
241,빠른 배달 감사합니다.,True
242,"#식후감

음.....

가성비 갑",True
243,잘먹었습니다.,False
244,맛잇게 먹었습니다!!,True
245,인간적으로 쫄면에 야채좀  더넣든가 하세요,False
246,칼국수가 살짝 불긴 했으나 맛있었어요 국수보다는 칼국수가 입에 더 잘 맞는듯,True
247,"맛없음....
떡만두국 주문했는데 만두국이왔음
전화할까하다가 가격이 같아서 그냥 참음
무엇보다 맛이 너무없음",False
248,항상  잘먹고  있어요 ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ,False
249,맛있게 잘먹었습니다,True
250,"맛도 별로고 배달 관리도 별로고, 다시는 먹고 싶지 않네요",False
251,고소하이 처직이네~,False
252,푸짐하고 싱싱하고 맛있습니다~~~♡♡♡,True
253,"평가하기싫음
바가지썼네요",False
254,회도 넉넉하고 서비스로 주신 머리 구이랑 초밥도 너무 맛있었어요! 자주 이용할게요 ㅎㅎ 감사합니다 사장님!,True
255,배달도 빠르고 양도 많고 맛있어요 매운탕은 좀 심심해서 고춧가루 소금 등등 더넣고 끓여먹었어요,True
256,크리스마스날임에도 예상 예정 시간보다 빨리왔어요. 다만 회가 매우 얇아요. 서비스로 연어머리구이와 너겟과 후기 이벤트 연어 초밥 5피스를 받았는데 서비스에 감동 했으나 회 두께에 실망했어요. 그래도 배달 시간 안에 잘 보내 주셔서 감사히 잘 먹었습니다,False
257,"자세한설명이필요사장님과통화 완전친절하세요~~
양도많이주시고 초밥서비스 두툼한회에 매운탕캬~~ 100점드릴께요~^^",True
258,"완죤 빨리왔어오! 양도 넉넉했어오! 써비스 넘모 조아오!! ^0^
초장 더 부탁 드렸는데 하나 더 주셧어오 조아오! 광어 완전 쫄깃하고 탱탱해오 뱃살 츄릅...!",True
259,조기구이가 서비스로오다닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개신기 맛있었어요~_~!,True
260,"마트에서 파는 봉지에 담긴 멍게 파는 듯하네요.
마니 실망스럽고.. 맛도 대형마트 포장멍게랑 맛이 똑같네요 ..
멍게꼭다리도 2개밖에없구요... 
양심을 파시지 않으셨으면",False
261,쫄깃쫄깃 맛있어요!,True
262,배달빠르고 맛잇겠 잘먹었어요~,True
263,양 많고 배달도 빨라요11,True
264,구성 좋고 맛도 좋고 전반적으로 훌륭합니다. 자주 사먹을 것 같아요,False
265,"아 진짜리뷰안쓰는데 2만4천원짜리 맛진짜없네

밥은 달라붙어서 바닥에서안떨어지고 비리고 배달이지만 신경좀쓰세요 돈아깝네요",False
266,"취하게 먹다가 사진을 못찍었네요
최고의 안주였습니다 굿",True
267,"회가 색깔이 이상해서 못먹었어요
썩은 느낌의 색은 뭐죠?ㅜㅜㅜ
물회에 들어있는 회 색깔이 저렇게 다를수있나요??",False
268,맛나요 또 먹을게요 칭찬해요 굿웋,True
269,"솔직히 초밥 따로 주문했으면 간장 넣을 곳 하나는 넣어주셔야 하는거 아닌가요??
그래도 회가 두툼하고 정말 맛있었습니다
또 시켜먹을께요",True
270,구우우우우우우우우웃,True
271,"광어회가 확실히 대자라 그런가 살이 맛있네요 
매운탕도 푸짐해서 3일 알차게 먹었습니다 ㅋㅋ",True
272,"물회너무맛있네요
배달이라 기대안했는데 잘먹었습니딘",True
273,맛있게 먹었어요~~,True
274,맛있게 잘 먹었습니다,True
275,굿이에요 또 먹을거에요 최고입니다. 담에 또 먹어요!,True
276,맛있게 잘 먹었습니다,True
277,사시미도 신선하고 초밥도맛있어요!! 잘 먹었어요~,True
278,소고기랑 붉은생새우 ♡,True
279,맛있습니다맛있습니다,True
280,너무 맛있어요ㅎㅎ 자주 이용하겠습니다,True
281,초밥 맛있어요~~!!👍,True
282,서비스로 온 계란초밥도 좋앟어요,False
283,양도 괜찮고 맛있어요.,True
284,"맛있게 잘 먹었습니다!  양도 푸짐하고 신선했어요.
다만 와사비가 소분되어있는데 그때문인지 수분이 날아가고 퍼석퍼석해서 아쉬웠어용",True
285,우리 동네에 이런 초밥집이 있었다니 당장 찜 했습니다 정말 미쳤어요.. 맛 비주얼 깔끔함 배달 다 완벽해요,True
286,"사진보다 양이 많다고 써놨지만 사진이 양이 더 많아요ㅋㅋ같은 가격이면 매번 시키던 프렌차이즈에다 시킬껄 하면서 먹었습니다.
간장 많이 다라는 부탁은 잘 들어주셨습니다.
많이 파세요",False
287,도미회 진짜 맛있어요! 여기만 먹어요😍,True
288,신선하고 맛도 좋아요,True
289,맛있어용! 회도 너무신선해요,True
290,오호  어제는 수산시장 현장에서 먹고 오늘은 배달인데 배달 회 상태가 너무 좋네요. 맛나요,True
291,"배달은 예상 시간보다 늦었지만 맛나게
잘먹었네요 양은 처음 봤을땐 적어 보였는데
막상 먹으니 은근 배가 부르더라구요ㅋ
생와시비랑 초고추장도 듬뿍 주시더라구요ㅋ",False
292,가격대비 양이 많다거나 회가 막 신선해보이진 않지만 맛은 기가 맥히네요 잘먹었습니다,False
293,실망 리뷰에 양 많다는건 거짓말.회.초장.간장.끝....매운탕거리는 머리 조금 주었음 야체는 아무것도 없고 전화해서 물어볼려고해두 연락할곳도 없고.가격대비 실망입니다.,False
294,맛있게 먹었습니다^^ 요청사항에 고추장 안주셔도 된다 했는데 주셨더라구요...ㅠㅠ 그거 빼고는 다 만족해요~,False
295,"믿고 먹는 벌교가족
근처 익스프레스 배달 시작하셔서 너므 좋습니다
번창하세요!^^ 오늘도 덕분에 맛있는 저녁입니다^^",True
296,배달도 빠르고 엄청 맛있어요,True
297,"맛있게 잘 먹었습니다!!!! 똑같은2인분에  모밀세트인데... 다섞어주셔서 머가먼지... 그래서 배고파서 막먹어  맞게온지도 잘 모르겠더라구요..예전에도  요런거였나,? 싶네요.. 다른곳보다 솔직히  재료들이  아쉬워요..",True
298,"사무실에서 시켜먹었는대 왠지 2%부족한듯한 맛 모밀면이 덜삶아져왔어요 ㅜㅠ
그래도 잘먹었습니다",False
299,맛있게 잘 먹었습니다 감사합니다,True
300,"궂은 날씨에 배달해주셨어요~~^^
정서만큼 음식맛도 좋았어요 🤗",True
301,맛있게 잘먹었습니다! 눈오는날 배달오시느라 고생 많으셨어요!! 다음에 또 이용할게요! 번창하세요!!,True
302,꽃등심 초밥 굿!!,True
303,다 흘려있고 오뎅국물 찌그러져있고 먼곳에서오셨는지 받을때부터 기분이 안좋았습니다,False
304,"맛도 맛있고 서비스 많이 주시고 잘먹었어요 
근데 배달이 30분이나 늦게온건 조금 그렇네요 가게잘못은 아니시지만 말씀드릴곳이 없어서 이렇게나마 남깁니다 
잘먹었어요 번창하세요!",True
305,너무 맛있게 잘 먹었습니다. 다음에도 기회가 되면 또 이용하도록 하겠습니다~,True
306,항상 맛있게 잘먹고있어요,True
307,"외국 나갔다 들어오자마자 주문했습니다..
역시 한국인은 한식이에요ㅠㅠ",True
308,고기는 그냥 저냥 냉면 육수가 맛나네요,False
309,이 근방 육쌈냉면집 중에 제일 맛있어요~! 면 안불어오고 면익기도 딱 좋아요. 비냉시켜도 냉육수 따로 주시고. 배달비 더 저렴한 다른 지점 있어도 항상 경희대점에서만 주문 합니다~,True
310,사진은 다음에 찍을께요   값싸고 깔끔하고  아주 맛있게 잘 먹었습니다 ~~^^,True
311,배달이 정말 빨라요 bb 잘먹었습니다,True
312,맛있게 먹었읍니다.,True
313,속이 꽉 찬 참치김밥!최애입니다^^,True
314,너무 맛있어요 열혈짬뽕 짱,True
315,참치김밥도 아닌데 깻잎이 별로였어요,False
316,강추 너무 맛잇어요,True
317,약간 매워요 맛있어요...,True
318,항상 맛있어요~~~~~~~,True
319,쓱쓱 비벼서 맛나게 먹었어요~~^^,True
320,속이 아주 실한 참치김밥이 짱입니다^^,True
321,김치찜에 계란밥 슥슥 비벼먹음 정말 맛있어요^^,True
322,잘 먹었습니다 감사합니다,True
323,맛있게 먹었어요 우동도 맛있었어요!,True
324,맛나게 잘먹었어요~!,True
